              p [Pa]          s [J/kg-K]               T [K]
      1.00000000e+03      1.17519976e+04      1.10000001e+03
      1.00000000e+06      8.76987588e+03      1.20000000e+03
      5.00000000e+06      8.40622438e+03      1.40000000e+03
      1.00000000e+07      8.43285518e+03      1.60000000e+03
      2.00000000e+07      8.42920714e+03      1.80000000e+03
      3.00000000e+07      8.53640523e+03      2.00000000e+03
      4.00000000e+07      8.67795842e+03      2.20000000e+03
      5.00000000e+07      8.63838510e+03      2.25000000e+03
