        rho [kg/m^3]               T [K]    lambda [W/(m-K)]
      0.00000000e+00      2.98150000e+02      1.84341883e-02
      9.98000000e+02      2.98150000e+02      6.07712868e-01
      1.20000000e+03      2.98150000e+02      7.99038144e-01
      0.00000000e+00      8.73150000e+02      7.91034659e-02
