# p[Pa]     =             0.0035e6            0.0035e6              30.0e6
# T[K]      =                  300                 700                 700
v [m3/kg]   =       3.94913866e+01      9.23015898e+01      5.42946619e-03
h [J/kg]    =       2.54991145e+06      3.33568375e+06      2.63149474e+06
u [J/kg]    =       2.41169160e+06      3.01262819e+06      2.46861076e+06
s [J/kg-K]  =       8.52238967e+03      1.01749996e+04      5.17540298e+03
cp [J/kg-K] =       1.91300162e+03      2.08141274e+03      1.03505092e+04
w [m/s]     =       4.27920172e+02      6.44289068e+02      4.80386523e+02
