              p [Pa]            h [J/kg]               T [K]
      3.35000000e+07      1.64344943e+06      6.30000000e+02
      2.00000000e+07      1.79130276e+06      6.37000000e+02
      2.10000000e+07      2.48929822e+06      6.47000000e+02
      1.79000000e+07      1.68821864e+06      6.26159999e+02
      1.73700000e+07      2.56582491e+06      6.29000000e+02
      3.10000000e+07      2.55197817e+06      6.97000000e+02
      9.70000000e+07      1.61414193e+06      6.36000000e+02
      9.77000000e+07      2.77581149e+06      8.53999999e+02
