              p [Pa]          s [J/kg-K]               T [K]
      3.35000000e+07      3.69009147e+03      6.30000000e+02
      2.00000000e+07      3.95927258e+03      6.37000000e+02
      2.10000000e+07      5.04168152e+03      6.47000000e+02
      1.79000000e+07      3.80223220e+03      6.26160000e+02
      1.73700000e+07      5.20290950e+03      6.29000000e+02
      3.10000000e+07      5.05425538e+03      6.97000000e+02
      9.70000000e+07      3.49976082e+03      6.36000000e+02
      9.77000000e+07      5.06161454e+03      8.54000001e+02
