# p[Pa]     =                0.5e6              30.0e6              30.0e6
# T[K]      =                 1500                1500                2000
v [m3/kg]   =       1.38455090e+00      2.30761299e-02      3.11385219e-02
h [J/kg]    =       5.21976855e+06      5.16723514e+06      6.57122604e+06
u [J/kg]    =       4.52749310e+06      4.47495124e+06      5.63707038e+06
s [J/kg-K]  =       9.65408875e+03      7.72970133e+03      8.53640523e+03
cp [J/kg-K] =       2.61609445e+03      2.72724317e+03      2.88569882e+03
w [m/s]     =       9.17068690e+02      9.28548002e+02      1.06736948e+03
