               T [K]              p [Pa]        rho [kg/m^3]
      6.30000000e+02      3.35000000e+07      6.36819289e+02
      6.37000000e+02      2.00000000e+07      5.15444287e+02
      6.47000000e+02      2.10000000e+07      1.59577687e+02
      6.26160000e+02      1.79000000e+07      5.70016511e+02
      6.29000000e+02      1.73700000e+07      1.19044937e+02
      6.97000000e+02      3.10000000e+07      2.09357444e+02
      6.36000000e+02      9.70000000e+07      7.41893437e+02
      8.54000000e+02      9.77000000e+07      3.90784298e+02
