              p [Pa]            h [J/kg]               T [K]
      1.00000000e+03      4.22385130e+06      1.10000000e+03
      1.00000000e+06      4.45997671e+06      1.20000000e+03
      5.00000000e+06      4.95097566e+06      1.40000000e+03
      1.00000000e+07      5.47017439e+06      1.60000000e+03
      2.00000000e+07      6.00919444e+06      1.80000000e+03
      3.00000000e+07      6.57122604e+06      2.00000000e+03
      4.00000000e+07      7.15113591e+06      2.20000000e+03
      5.00000000e+07      7.29686729e+06      2.25000000e+03
