               T [K]   SurfTension [N/m]
      2.73160000e+02      7.56462711e-05
      3.48150000e+02      6.35830195e-05
      3.73150000e+02      5.89118686e-05
      4.18150000e+02      4.98032555e-05
      4.68150000e+02      3.88130467e-05
      4.98150000e+02      3.19033359e-05
      5.73150000e+02      1.43596149e-05
      6.23150000e+02      3.66539877e-06
      6.43150000e+02      3.88223676e-07
