# rho[kg/m3]=                  500                 200                 500
# T[K]      =                  650                 650                 750
p [Pa]      =       2.55837018e+07      2.22930643e+07      7.83095639e+07
h [J/kg]    =       1.86343019e+06      2.37512401e+06      2.25868845e+06
u [J/kg]    =       1.81226279e+06      2.26365868e+06      2.10206932e+06
s [J/kg-K]  =       4.05427273e+03      4.85438792e+03      4.46971906e+03
cp [J/kg-K] =       1.38935717e+04      4.46579342e+04      6.34165359e+03
w [m/s]     =       5.02005554e+02      3.83444594e+02      7.60696041e+02
